item,itemLabel,position,positionLabel,start,psid
Q110535800,Tewolde Kelati,Q110535801,Minister of Fisheries,2011-01-01,Q110535800-53069EE9-9BDA-4DBF-9A6E-DA444957CC0F
Q11967985,Estifanos Habte,Q54856252,Minister of Trade & Industry of Eritrea,2011-01-01,Q11967985-DDDAC086-219E-4E81-BC92-9169338F3D78
Q11999779,Sebhat Ephrem,Q54855441,Minister of Defence of Eritrea,1995-01-01,Q11999779-89d29e45-457f-dc36-c46c-6e5e3c80f0c3
Q3080243,Fozia Hashim,Q110535807,Minister of Justice,1993-01-01,Q3080243-7ABE2309-4FE9-4BB5-A5BF-DF0360C6CA96
Q3380461,Selma Hassan,Q54856887,Minister of Labour and Social Welfare of Eritrea,2011-01-01,Q3380461-E9F17938-407C-49EC-B08D-8ACEF9AEB158
Q4668714,Abraha Asfaha,Q110535829,Minister of Public Works,2011-01-01,Q4668714-77630EEB-6672-4D48-B14C-7FE0EA1E6694
Q4695838,Ahmed Haj Ali,Q110535792,Minister of Energy and Mining,2011-01-01,Q4695838-C4D8D01D-547D-472C-8527-20BDCBDB2BA7
Q4724540,Ali Abdu Ahmed,Q110535805,Minister of Information,2004-01-01,Q4724540-51C5739A-380A-4443-A91F-5BF9560BA836
Q4747349,Amna Nurhusein,Q54855509,Minister of Health of Eritrea,2009-01-01,Q4747349-DA40DE0D-CCA4-4EAE-AA95-33A262C3F1FC
Q4788748,Arefaine Berhe,Q110535812,Minister of Agriculture,1997-01-01,Q4788748-EA31E6EE-DF82-43B3-80F0-C7DD66A33E5D
Q4807116,Askalu Menkerios,Q54856066,Minister of Tourism of Eritrea,2011-01-01,Q4807116-869E2838-5717-4469-B419-6FAD1A9FA862
Q4891779,Berhane Habtemariam,Q54886726,Minister of Finance of Eritrea,2012-01-01,Q4891779-FA889702-F62F-4D0E-9B57-E2BF0CC14129
Q5550601,Gergis Teklemichael,Q110535824,Minister for National Development,2011-01-01,Q5550601-694ECC22-6809-468B-840C-6B713BEB045E
Q7449239,Semere Russom,Q110535771,Minister of Education,2007-04-18,Q7449239-F68A5109-D9B3-4087-9ECD-F6133C860434
Q7705455,Tesfai Ghebreselassie,Q110535813,"Minister of Land, Water, and the Environment",2011-01-01,Q7705455-A63073EE-9B85-425C-B2E2-80CB9C0026C6
Q8029742,Woldemichael Abraha,Q110535832,Minister of Transport and Communications,2004-01-01,Q8029742-00DB3C3C-27FA-4794-9400-650E832FEFF8
Q58163,Osman Saleh Mohammed,Q54889314,Minister of Foreign Affairs of Eritrea,2007-04-18,Q58163-F581C1EC-BA7E-43B2-9856-7FBBB8EF6634
